Employee_ID,Age,Gender,Department,Job_Role,Salary,Experience_Years,Performance_Rating,Overtime,Attrition
1091,41,Male,HR,Recruiter,69639,14,4,No,No
1092,23,Female,IT,Data Scientist,25000,0,4,No,No
1093,28,Female,Marketing,Marketing Executive,46516,3,4,No,No
1094,23,Female,Sales,Sales Executive,27584,0,4,No,No
1095,52,Female,Sales,Business Development,141029,30,3,Yes,No
1096,39,Female,Sales,Sales Manager,74007,10,3,Yes,Yes
1097,58,Female,Sales,Sales Manager,141507,30,5,Yes,No
1098,55,Female,Sales,Sales Executive,154662,31,4,No,No
1099,36,Female,Sales,Sales Manager,53199,6,5,Yes,No
1100,46,Female,Sales,Sales Manager,84823,16,5,No,No
1101,53,Male,Finance,Finance Manager,103251,24,5,No,No
1102,46,Female,HR,Recruiter,108253,24,4,Yes,Yes
1103,48,Female,Marketing,Content Strategist,110970,26,4,Yes,No
1104,29,Male,HR,Recruiter,41983,7,4,Yes,Yes
1105,33,Female,Marketing,Content Strategist,53157,10,3,Yes,Yes
1106,30,Female,Sales,Sales Manager,46077,1,3,Yes,No
1107,57,Male,Sales,Sales Executive,136858,34,5,No,No
1108,22,Female,Sales,Business Development,49699,0,5,Yes,Yes
1109,59,Male,Sales,Sales Manager,148851,29,4,No,No
1110,38,Female,Sales,Business Development,83180,11,4,Yes,No
1111,56,Female,IT,System Admin,140888,32,2,Yes,No
1112,56,Female,Operations,Operations Executive,130439,29,2,Yes,Yes
1113,35,Female,Finance,Accountant,63630,6,2,No,Yes
1114,28,Male,Marketing,Content Strategist,33638,0,3,No,No
1115,22,Male,HR,Recruiter,26169,0,4,Yes,No
1116,37,Female,Operations,Operations Executive,60907,12,1,No,Yes
1117,59,Female,HR,Recruiter,148611,37,1,No,No
1118,60,Male,Finance,Financial Analyst,176822,38,2,No,No
1119,46,Female,HR,HR Executive,118694,20,2,Yes,No
1120,52,Female,IT,Software Engineer,109830,23,5,No,No
1121,35,Male,Finance,Accountant,54556,8,3,No,No
1122,36,Male,Sales,Sales Executive,76143,12,2,No,Yes
1123,53,Female,HR,Recruiter,118673,27,2,Yes,No
1124,50,Female,IT,Software Engineer,88847,20,3,Yes,No
1125,29,Male,IT,Data Analyst,32733,0,2,No,No
1126,57,Male,Marketing,Marketing Executive,160897,35,3,Yes,No
1127,35,Male,Marketing,Content Strategist,69441,11,4,Yes,No
1128,27,Female,HR,Recruiter,39897,3,4,No,No
1129,45,Male,Marketing,Content Strategist,116804,22,1,Yes,Yes
1130,46,Male,Sales,Business Development,110625,19,3,Yes,No
1131,34,Female,HR,HR Manager,49945,9,3,No,No
1132,60,Female,Marketing,Content Strategist,160545,33,1,Yes,Yes
1133,32,Female,Marketing,Content Strategist,57630,8,1,Yes,No
1134,44,Female,Sales,Sales Executive,80001,18,1,No,No
1135,27,Female,Marketing,Content Strategist,26717,2,5,Yes,No
1136,51,Female,Marketing,SEO Specialist,130039,25,1,No,No
1137,26,Female,Operations,Coordinator,25000,0,4,No,No
1138,56,Male,IT,Data Analyst,130849,26,2,No,No
1139,60,Male,Operations,Operations Executive,141106,31,5,No,No
1140,36,Female,Marketing,SEO Specialist,91014,14,5,Yes,No
1141,43,Female,IT,Data Scientist,101527,16,3,No,No
1142,50,Female,HR,Recruiter,96344,20,2,No,No
1143,50,Male,Sales,Sales Executive,94591,21,2,Yes,Yes
1144,51,Male,IT,Software Engineer,136344,28,4,Yes,No
1145,29,Female,Operations,Operations Manager,25000,0,4,No,No
1146,33,Female,IT,System Admin,50226,3,1,Yes,No
1147,37,Female,IT,Data Analyst,97943,14,2,No,No
1148,37,Female,Finance,Finance Manager,61088,8,3,Yes,Yes
1149,38,Female,Finance,Finance Manager,83929,14,5,No,No
1150,33,Female,IT,Software Engineer,56475,3,3,Yes,No
1151,58,Male,Operations,Coordinator,155306,35,2,Yes,Yes
1152,43,Male,Sales,Sales Manager,85607,16,3,No,No
1153,55,Male,HR,Recruiter,138246,26,3,Yes,No
1154,36,Male,Sales,Sales Executive,78143,12,5,Yes,No
1155,36,Female,HR,HR Executive,91711,13,4,No,No
1156,25,Male,IT,Data Scientist,34601,0,1,No,Yes
1157,24,Male,IT,System Admin,32282,0,1,Yes,No
1158,43,Female,HR,HR Manager,73934,14,1,No,No
1159,32,Male,HR,HR Manager,34657,3,2,Yes,Yes
1160,22,Male,Marketing,Content Strategist,25000,0,4,Yes,Yes
1161,57,Male,Finance,Accountant,137249,27,5,No,No
1162,59,Male,Sales,Sales Executive,134857,31,5,No,No
1163,41,Female,IT,Software Engineer,60729,12,4,No,No
1164,52,Female,Operations,Coordinator,124028,23,4,Yes,No
1165,45,Male,Sales,Sales Executive,109946,23,5,No,No
1166,44,Male,Marketing,Marketing Executive,103829,16,4,No,No
1167,60,Female,Marketing,Content Strategist,164562,35,4,No,No
1168,27,Male,Finance,Finance Manager,25000,2,2,Yes,No
1169,40,Male,Finance,Accountant,84694,11,1,Yes,No
1170,46,Female,Marketing,Marketing Executive,81689,16,2,No,No
1171,41,Male,Marketing,Marketing Executive,74611,12,2,Yes,No
1172,57,Male,Marketing,Marketing Executive,132236,28,4,No,No
1173,56,Male,Marketing,Content Strategist,158357,34,4,Yes,No
1174,43,Male,Marketing,Content Strategist,84224,13,5,Yes,No
1175,27,Female,IT,Software Engineer,34141,5,5,Yes,No
1176,45,Female,Sales,Sales Manager,100245,20,3,No,No
1177,37,Female,Marketing,SEO Specialist,74837,13,2,No,Yes
1178,53,Female,Marketing,Marketing Executive,138250,31,5,Yes,No
1179,43,Male,Marketing,Content Strategist,81707,14,2,Yes,No
1180,49,Female,HR,HR Manager,84978,19,4,No,No
1181,34,Male,Marketing,Content Strategist,65151,9,3,Yes,No
1182,58,Male,Sales,Sales Manager,142859,34,5,No,No
1183,30,Male,Sales,Sales Manager,39994,6,1,No,Yes
1184,29,Female,HR,Recruiter,25000,0,1,No,No
1185,32,Female,Marketing,Content Strategist,58824,5,2,Yes,No
1186,38,Male,Operations,Operations Manager,90897,16,1,No,Yes
1187,34,Male,Operations,Operations Manager,66015,11,2,No,No
1188,42,Female,IT,System Admin,112048,20,3,No,No
1189,31,Female,IT,System Admin,48295,4,5,No,No
1190,25,Female,Marketing,Content Strategist,25000,0,1,Yes,No
1191,27,Male,Sales,Sales Manager,41740,1,3,Yes,No
1192,47,Female,IT,Data Analyst,125561,23,1,Yes,No
1193,35,Female,Marketing,SEO Specialist,49333,6,1,No,No
1194,43,Female,Operations,Coordinator,85674,16,2,No,No
1195,39,Female,Marketing,SEO Specialist,65511,9,4,No,No
1196,49,Male,IT,System Admin,110348,23,3,Yes,No
1197,55,Female,Sales,Sales Manager,133963,29,5,No,No
1198,44,Female,Operations,Operations Executive,106772,18,5,No,No
1199,36,Female,Operations,Operations Executive,86175,11,2,No,Yes
1200,60,Male,Marketing,Marketing Executive,121333,30,4,No,No
1201,26,Male,IT,Data Analyst,29810,4,4,No,No
1202,33,Female,Marketing,SEO Specialist,59157,3,2,No,No
1203,41,Female,Sales,Sales Manager,85197,14,4,No,No
1204,56,Male,Marketing,Content Strategist,122549,27,1,No,No
1205,29,Male,Marketing,SEO Specialist,25668,1,1,Yes,Yes
1206,44,Female,Operations,Coordinator,123807,22,2,No,No
1207,30,Male,Finance,Finance Manager,52377,5,1,No,No
1208,49,Male,HR,Recruiter,110939,26,3,No,No
1209,30,Male,Marketing,SEO Specialist,55301,5,3,Yes,Yes
1210,54,Female,Finance,Finance Manager,130988,26,4,No,No
1211,47,Male,IT,System Admin,74737,17,1,Yes,No
1212,31,Male,Finance,Accountant,25000,1,1,Yes,No
1213,28,Male,Sales,Sales Manager,41510,4,1,No,No
1214,50,Female,IT,System Admin,116715,20,3,Yes,No
1215,53,Female,Finance,Financial Analyst,120991,24,4,No,No
1216,33,Male,Operations,Operations Manager,78807,10,3,No,No
1217,24,Female,Finance,Accountant,25000,0,5,No,No
1218,43,Male,Sales,Sales Manager,112077,18,3,No,No
1219,49,Male,Marketing,Content Strategist,109555,24,4,Yes,No
1220,59,Male,HR,HR Manager,147254,30,4,Yes,No
1221,24,Female,Marketing,Content Strategist,34493,0,1,No,No
1222,45,Female,HR,HR Executive,84606,16,5,Yes,Yes
1223,55,Female,Sales,Sales Manager,116886,25,2,Yes,Yes
1224,57,Female,Finance,Financial Analyst,149039,29,2,No,Yes
1225,34,Female,Operations,Operations Manager,76076,9,1,Yes,Yes
1226,28,Male,HR,HR Manager,51507,1,4,Yes,No
1227,53,Male,IT,Data Analyst,118455,29,5,No,No
1228,40,Male,Operations,Operations Manager,54631,10,1,Yes,No
1229,43,Female,IT,Data Scientist,100940,20,1,Yes,No
1230,27,Female,Sales,Sales Manager,36736,5,5,Yes,No
1231,58,Female,Operations,Operations Manager,133784,30,1,No,No
1232,30,Female,Marketing,SEO Specialist,40146,5,1,Yes,No
1233,49,Female,HR,HR Executive,123949,25,3,No,No
1234,24,Female,Operations,Coordinator,25000,0,4,No,Yes
1235,54,Female,Operations,Operations Executive,135611,29,1,No,No
1236,32,Female,Operations,Operations Manager,43056,2,4,Yes,No
1237,48,Female,IT,System Admin,125143,24,4,No,No
1238,36,Female,Sales,Business Development,80097,10,3,Yes,No
1239,48,Female,Marketing,Content Strategist,103452,19,3,No,No
1240,24,Male,Sales,Business Development,26068,0,4,Yes,No
1241,42,Male,Finance,Financial Analyst,88942,20,3,No,Yes
1242,43,Female,IT,Software Engineer,94504,18,4,Yes,No
1243,26,Male,Sales,Sales Executive,34226,2,3,No,No
1244,49,Male,Finance,Accountant,107392,21,3,Yes,Yes
1245,44,Female,Finance,Finance Manager,80395,17,5,No,No
1246,42,Female,Sales,Sales Manager,92882,14,4,Yes,Yes
1247,55,Female,HR,HR Manager,132313,31,3,Yes,Yes
1248,50,Female,HR,Recruiter,132905,25,3,Yes,No
1249,28,Male,Sales,Sales Manager,49837,0,3,No,No
1250,46,Female,Marketing,Content Strategist,92071,21,1,No,No
1251,33,Male,Marketing,Content Strategist,71085,10,3,No,No
1252,49,Male,Finance,Finance Manager,112804,21,5,Yes,No
1253,38,Male,IT,Data Analyst,79734,15,5,Yes,Yes
1254,46,Male,Operations,Operations Manager,117260,22,1,No,No
1255,45,Female,Sales,Sales Manager,104227,20,2,No,No
1256,46,Male,IT,Data Scientist,121158,22,3,No,No
1257,23,Male,Finance,Finance Manager,33218,0,1,No,No
1258,43,Male,Sales,Sales Manager,89915,15,1,Yes,Yes
1259,45,Female,Finance,Finance Manager,96678,16,3,No,No
1260,34,Female,IT,System Admin,83421,10,4,No,No
1261,51,Male,HR,Recruiter,103754,21,4,No,No
1262,34,Female,IT,System Admin,49793,8,2,Yes,No
1263,50,Female,Marketing,SEO Specialist,138834,26,4,Yes,Yes
1264,48,Female,HR,Recruiter,105741,23,1,Yes,Yes
1265,22,Male,HR,HR Executive,35750,0,3,No,No
1266,59,Male,IT,Software Engineer,166406,35,5,No,Yes
1267,55,Female,Finance,Accountant,124473,27,5,Yes,No
1268,31,Female,IT,Data Analyst,30657,1,4,Yes,No
1269,58,Male,Marketing,Marketing Executive,134199,31,5,No,No
1270,43,Male,Marketing,Content Strategist,93488,13,3,Yes,No
1271,39,Male,Sales,Business Development,65689,13,1,Yes,No
1272,27,Female,Sales,Sales Executive,39800,0,1,No,No
1273,51,Male,Sales,Sales Manager,123297,27,2,Yes,No
1274,32,Female,Operations,Coordinator,53017,4,2,No,No
1275,30,Male,Marketing,Content Strategist,40183,5,4,Yes,No
1276,34,Male,Marketing,Marketing Executive,47664,5,1,No,No
1277,24,Male,Operations,Coordinator,31733,2,1,Yes,No
1278,51,Male,Marketing,Marketing Executive,136205,29,5,No,No
1279,44,Male,HR,HR Manager,99784,22,5,Yes,No
1280,45,Female,Operations,Operations Manager,101662,18,4,No,No
1281,30,Female,Marketing,Marketing Executive,37385,6,4,Yes,No
1282,60,Male,Operations,Operations Executive,133886,33,4,Yes,No
1283,44,Female,Sales,Sales Manager,71904,16,4,No,No
1284,47,Male,Marketing,Content Strategist,86731,17,3,Yes,No
1285,30,Female,HR,HR Manager,30681,2,5,No,No
1286,34,Female,IT,Data Scientist,64913,10,2,Yes,No
1287,56,Female,HR,HR Executive,138221,31,1,Yes,No
1288,59,Male,Marketing,Marketing Executive,145223,29,5,No,No
1289,27,Male,HR,Recruiter,25000,0,5,Yes,No
1290,28,Male,Operations,Operations Executive,47946,6,3,Yes,No
1291,49,Female,Finance,Finance Manager,110845,23,5,No,No
1292,40,Female,Marketing,SEO Specialist,82463,16,3,Yes,No
1293,52,Male,Finance,Finance Manager,135298,27,3,No,No
1294,44,Male,Finance,Financial Analyst,90318,15,2,No,No
1295,43,Female,Operations,Coordinator,88624,18,1,No,Yes
1296,25,Male,Sales,Sales Executive,48776,3,3,Yes,Yes
1297,51,Female,Marketing,Marketing Executive,126710,25,3,No,No
1298,59,Female,Finance,Finance Manager,133206,30,2,No,No
1299,34,Male,IT,Software Engineer,44868,6,1,Yes,No
1300,59,Female,Marketing,SEO Specialist,143674,31,5,No,No
1301,53,Female,Finance,Finance Manager,104677,24,2,No,No
1302,23,Male,Sales,Business Development,30170,0,1,No,No
1303,43,Male,Finance,Accountant,103463,19,3,Yes,Yes
1304,54,Female,Finance,Finance Manager,121435,27,4,Yes,No
1305,34,Male,Marketing,SEO Specialist,61192,6,1,No,No
1306,41,Male,Finance,Finance Manager,93447,17,3,No,No
1307,30,Female,Sales,Sales Manager,66654,5,4,Yes,No
1308,46,Male,HR,Recruiter,99534,23,5,No,No
1309,27,Female,HR,HR Executive,25000,0,5,Yes,No
1310,24,Male,HR,HR Manager,43480,0,2,Yes,No
1311,28,Male,IT,Data Scientist,25000,0,2,Yes,No
1312,26,Male,Sales,Sales Manager,44919,0,4,Yes,Yes
1313,56,Male,IT,Data Scientist,120739,30,5,No,No
1314,28,Female,HR,Recruiter,33169,1,1,No,No
1315,54,Female,Operations,Operations Manager,114021,27,2,Yes,No
1316,58,Male,IT,Data Scientist,147683,36,4,Yes,No
1317,57,Male,Marketing,Marketing Executive,123469,29,2,No,Yes
1318,36,Male,HR,Recruiter,60355,12,4,No,No
1319,27,Female,Finance,Financial Analyst,57916,5,2,No,No
1320,33,Male,Finance,Financial Analyst,57477,3,3,Yes,No
1321,60,Male,Operations,Operations Manager,168905,36,1,Yes,No
1322,29,Female,Finance,Financial Analyst,30721,0,4,Yes,Yes
1323,46,Female,Marketing,Marketing Executive,105576,18,4,No,No
1324,57,Female,Sales,Sales Manager,130971,31,3,Yes,No
1325,37,Female,HR,Recruiter,87361,15,5,No,No
1326,32,Female,IT,System Admin,57970,9,4,No,No
1327,25,Male,Operations,Operations Manager,25000,0,1,Yes,No
1328,44,Male,Sales,Sales Executive,88771,16,4,Yes,No
1329,60,Female,Operations,Operations Manager,147272,30,2,Yes,No
1330,46,Female,HR,HR Executive,95192,17,3,No,No
1331,40,Male,Operations,Operations Manager,57399,11,2,No,No
1332,27,Male,Marketing,SEO Specialist,43951,0,4,No,No
1333,55,Male,HR,HR Executive,159619,32,2,Yes,Yes
1334,28,Female,Operations,Operations Executive,63123,6,3,Yes,No
1335,48,Male,Sales,Sales Executive,103882,23,2,No,Yes
1336,40,Female,Sales,Sales Executive,62007,11,4,No,No
1337,47,Male,Sales,Sales Manager,83747,19,1,Yes,No
1338,30,Male,Finance,Finance Manager,34821,5,4,Yes,Yes
1339,39,Female,Finance,Accountant,75015,13,4,Yes,No
1340,47,Female,HR,HR Manager,118037,21,4,Yes,No
1341,58,Male,Operations,Operations Manager,147167,30,2,No,No
1342,29,Male,Marketing,Content Strategist,32317,0,1,Yes,Yes
1343,25,Female,HR,Recruiter,44598,1,1,No,No
1344,25,Male,Finance,Accountant,44192,2,2,Yes,Yes
1345,37,Male,Sales,Sales Manager,69514,9,4,Yes,Yes
1346,46,Male,HR,HR Executive,128490,24,1,Yes,Yes
1347,43,Male,IT,Data Scientist,83071,15,4,Yes,No
1348,48,Female,Marketing,Marketing Executive,127294,24,3,Yes,No
1349,28,Male,Finance,Financial Analyst,42098,4,2,No,No
1350,53,Male,Operations,Operations Manager,130343,24,4,Yes,No
1351,47,Male,Sales,Sales Manager,116120,19,2,Yes,No
1352,28,Male,IT,System Admin,29392,4,4,Yes,No
1353,44,Female,IT,System Admin,78072,14,4,No,No
1354,52,Female,Finance,Financial Analyst,126072,26,4,No,No
1355,27,Female,IT,Software Engineer,41267,4,4,Yes,No
1356,57,Female,HR,HR Executive,138611,29,2,Yes,No
1357,42,Male,IT,System Admin,85614,14,3,No,Yes
1358,39,Male,IT,Data Scientist,98381,16,5,Yes,No
1359,39,Male,Marketing,SEO Specialist,79893,16,3,No,No
1360,39,Female,Marketing,SEO Specialist,68851,10,3,Yes,Yes
1361,50,Female,Sales,Business Development,103103,22,2,Yes,No
1362,53,Female,Sales,Sales Manager,124969,25,1,No,No
1363,27,Male,Sales,Sales Executive,48638,0,2,Yes,No
1364,31,Male,Operations,Coordinator,37080,3,4,No,No
1365,56,Female,IT,Data Scientist,146114,28,2,Yes,No
1366,46,Female,HR,Recruiter,109573,22,3,Yes,No
1367,41,Male,Finance,Financial Analyst,69728,14,4,No,No
1368,42,Male,HR,Recruiter,84946,15,4,Yes,No
1369,56,Female,Operations,Operations Manager,131809,30,1,Yes,Yes
1370,34,Female,Finance,Finance Manager,44691,7,1,Yes,No
1371,47,Male,Sales,Sales Manager,112710,18,3,Yes,No
1372,44,Female,Sales,Business Development,90831,21,3,Yes,Yes
1373,35,Male,Marketing,SEO Specialist,68009,7,5,Yes,No
1374,54,Male,IT,Software Engineer,143820,31,3,Yes,No
1375,29,Male,Finance,Accountant,49736,0,4,No,No
1376,53,Male,HR,HR Executive,128033,23,5,Yes,No
1377,52,Male,Operations,Operations Manager,141720,28,5,Yes,Yes
1378,30,Female,Operations,Coordinator,29225,3,2,No,No
1379,40,Female,Marketing,SEO Specialist,68355,12,3,Yes,Yes
1380,57,Female,Sales,Sales Manager,132357,33,1,Yes,No
1381,31,Female,Sales,Sales Manager,41083,1,3,Yes,No
1382,43,Female,HR,Recruiter,113666,21,2,Yes,No
1383,26,Male,HR,HR Executive,25000,0,5,No,No
1384,40,Male,Sales,Business Development,96749,15,5,Yes,No
1385,33,Female,Finance,Finance Manager,66182,10,5,Yes,Yes
1386,47,Female,Operations,Coordinator,95910,17,1,Yes,Yes
1387,34,Male,IT,Data Scientist,68315,11,1,Yes,No
1388,38,Female,IT,Software Engineer,74831,8,5,Yes,No
1389,42,Female,HR,Recruiter,117439,20,5,Yes,No
1390,52,Male,Operations,Operations Manager,113072,24,1,Yes,No
1391,22,Female,Finance,Finance Manager,25000,0,4,No,Yes
1392,26,Female,Sales,Business Development,36650,0,1,Yes,No
1393,59,Female,IT,Software Engineer,153802,30,2,No,No
1394,52,Female,IT,Data Scientist,125328,23,4,Yes,No
1395,37,Female,Sales,Business Development,66400,12,5,No,No
1396,28,Female,Finance,Finance Manager,38110,2,4,No,No
1397,25,Male,Operations,Coordinator,48814,3,1,No,No
1398,48,Female,Finance,Finance Manager,80201,18,1,Yes,Yes
1399,31,Male,IT,Data Analyst,56758,9,3,No,No
1400,41,Female,Finance,Financial Analyst,94958,14,3,No,No
1401,48,Female,Sales,Business Development,123443,25,4,No,No
1402,49,Male,Operations,Coordinator,131324,27,5,No,No
1403,40,Female,Sales,Sales Executive,96419,16,5,Yes,No
1404,41,Female,Marketing,Content Strategist,103489,19,4,No,Yes
1405,36,Female,Finance,Financial Analyst,81340,12,1,Yes,No
1406,30,Male,IT,Data Scientist,58281,6,2,No,No
1407,56,Male,Finance,Accountant,131540,32,2,Yes,No
1408,27,Female,Sales,Business Development,37979,0,1,No,No
1409,47,Female,Sales,Sales Executive,108243,17,4,No,No
1410,32,Male,Marketing,Content Strategist,75990,10,3,Yes,No
1411,27,Female,IT,Data Analyst,28534,0,4,No,No
1412,57,Female,Operations,Operations Manager,130083,32,3,Yes,No
1413,40,Female,Marketing,Marketing Executive,52803,10,3,Yes,No
1414,29,Male,Finance,Accountant,63868,5,1,Yes,Yes
1415,46,Female,Sales,Sales Executive,75801,16,5,Yes,No
1416,24,Male,Operations,Operations Manager,26582,0,1,No,No
1417,29,Male,Sales,Sales Executive,46840,2,2,Yes,No
1418,53,Male,IT,Data Scientist,120827,23,2,Yes,No
1419,57,Male,Operations,Operations Manager,133181,33,3,No,No
1420,43,Male,HR,HR Manager,76518,15,1,Yes,No
1421,50,Female,Operations,Operations Manager,129716,23,4,No,No
1422,40,Female,HR,Recruiter,73395,12,3,Yes,No
1423,56,Male,Marketing,Content Strategist,135387,32,5,No,Yes
1424,30,Male,Marketing,Content Strategist,66213,5,5,Yes,No
1425,44,Male,Finance,Finance Manager,80100,18,4,No,No
1426,42,Male,Marketing,Content Strategist,79919,14,4,Yes,No
1427,38,Male,Marketing,Content Strategist,96902,16,5,No,No
1428,47,Male,Finance,Accountant,115157,22,5,No,No
1429,47,Male,Marketing,Content Strategist,95319,21,2,Yes,Yes
1430,34,Male,Sales,Business Development,75639,12,4,No,No
1431,24,Male,Marketing,SEO Specialist,27956,2,2,Yes,Yes
1432,31,Male,Sales,Sales Manager,30689,4,3,Yes,No
1433,23,Female,IT,System Admin,26774,1,1,No,No
1434,50,Female,IT,Software Engineer,123136,28,3,No,No
1435,27,Female,HR,HR Manager,63171,5,2,No,No
1436,45,Female,Marketing,Marketing Executive,88390,19,2,No,No
1437,54,Female,Marketing,Content Strategist,129576,25,2,No,No
1438,50,Male,Operations,Operations Executive,123533,22,2,No,No
1439,26,Male,IT,Data Scientist,32976,2,4,Yes,Yes
1440,43,Female,Sales,Sales Executive,91053,17,1,No,No
1441,48,Male,HR,HR Executive,113690,26,4,Yes,Yes
1442,29,Female,HR,Recruiter,43278,4,4,Yes,No
1443,41,Male,Operations,Operations Manager,101821,19,1,Yes,No
1444,28,Female,Marketing,Content Strategist,25000,1,3,Yes,No
1445,41,Female,Operations,Coordinator,99913,17,3,No,Yes
1446,39,Male,HR,HR Manager,75577,16,2,No,No
1447,54,Male,IT,Data Analyst,133068,25,2,Yes,No
1448,39,Male,Operations,Operations Executive,66042,9,4,Yes,No
1449,36,Female,Sales,Business Development,68157,9,4,No,No
